3_001	Delapan dua delapan tiga.	Delapan dua delapan tiga.
3_002	Delapan empat delapan lima.	Delapan empat delapan lima.
3_003	Demikian bunyi imbauan para pemimpin ASEAN.	Demikian bunyi imbauan para pemimpin A-SE-AN.
3_004	Demikian pernyataan pers Forum Asia di Bangkok.	Demikian pernyataan pErs Forum Asia di Bangkok.
3_005	Dengan alasan PLN sedang pailit.	Dengan alasan PE-EL-EN sedang pai-lit.
3_006	Dengan bekal berupa peralatan kedokteran seberat enam kwintal.	Dengan bekal berupa peralatan kedokteran seberat enam kwintal.
3_007	Dengan bujuk rayunya yang manis Syachrial berhasil membawanya ke Danau Sunter.	Dengan bujuk rayunya yang manis Syah-ri-yal berhasil membawanya ke Danau Sunter.
3_008	Dengan cara memperpanjang birokrasi pengurusan berbagai izin dan dokumen.	Dengan cara memperpanjang birokrasi pengurusan berbagai izin dan dokumEn.
3_009	Dengan manajemen baru perubahan yang komprehensif dapat dilakukan.	Dengan manajemEn baru perubahan yang kom-prE-hEnsif dapat dilakukan.
3_010	Dengan moderator sosiolog Hotman Siahaan jelas Vidjongtius.	Dengan moderator sosiolog Hutman Sia-ha-an jelas Vi-jong-ti-yus.
3_011	Dengan skema ini Denmark kecewa.	Dengan skEma ini DEnmark kecEwa.
3_012	Denmark sudah pernah lolos ke Piala Dunia dua kali kata Howard lagi.	DEnmark sudah pernah lolos ke Piala Dunia dua kali kata Ho-ward lagi.
3_013	Depnakertrans bantah info perdagangan TKW.	DEp-na-ker-trans bantah info perdagangan TE-KA-WE.
3_014	Desa Cihideung membawahkan tiga kampung.	DEsa Cihideung membawahkan tiga kampung.
3_015	Di bulan Desember tidak ada biaya pemakaian PAM.	Di bulan DEsEmber tidak ada biaya pemakaian PAM.
3_016	Di Jepang, sabut kelapa asal Blitar digunakan sebagai media tanam.	Di Jepang, sabut kelapa asal Blitar digunakan sebagai mEdia tanam.
3_017	Di kota mana saja saya bisa mendapatkan layanan teleconference?	Di kota mana saja saya bisa mendapatkan layanan tElEkonferens?
3_018	Di lain fihak, di luar Frankfurt juga terjadi kerusuhan.	Di lain fihak, di luar Frang-furt juga terjadi kerusuhan.
3_019	Di Lapangan Golf Taman Impian Jaya Ancol.	Di Lapangan Golf Taman Impian Jaya Ancol.
3_020	Di mana di dalam  pesawat antara lain dipandu oleh radar.	Di mana di dalam  pesawat antara lain dipandu olEh radar.
3_021	Di mana sistem GSM menguasai mayoritas pasar selulernya.	Di mana sistem GE-ES-EM menguasai mayoritas pasar sElulErnya.
3_022	Di sepanjang Blora hingga Bojonegoro.	Di sepanjang Blora hingga Bojonegoro.
3_023	Di situ Chrisye membawakan dari Kala Sang Surya Tenggelam.	Di situ Kri-sye membawakan dari Kala Sang Surya Tenggelam.
3_024	Di sudut kiri Melawai Plaza.	Di sudut kiri Melawai Plaza.
3_025	Di tim Ceko delapan anggota saja yang jago bermain bola.	Di tim CEko, delapan anggota saja yang jago bermain bola.
3_026	Dia berkunjung ke Gudang Dwipa dan Gereja Oikumene, kata Glenn.	Dia berkunjung ke Gudang Dwi-pa dan GerEja Oi-ku-mEnE, kata GlEn.
3_027	Dia mengumumkan hal itu dalam siaran persnya lewat e-mail yang diterima Kompas.	Dia mengumumkan hal itu dalam siaran pErs-nya lewat I-mEil yang diterima Kompas.
