8_001	Sebab krisis politik dianggap sudah selesai.	Sebab krisis politik dianggap sudah selesai.
8_002	Sebab menurut Roy tidak ada nama Sihaloho di situ.	Sebab menurut Roy tidak ada nama Si-ha-lo-ho di situ.
8_003	Sebab mulai awal Januari tutup selama satu setengah jam.	Sebab mulai awal Januari tutup selama satu setengah jam.
8_004	Sebab Suharto Zakaria belum menyatakan boikot saja.	Sebab Suharto Zakaria belum menyatakan boy-kot saja.
8_005	Sebab Zakir terlihat pada malam yang sama.	Sebab Zakir terlihat pada malam yang sama.
8_006	Sebab, Sebelas ribu langkah-langkah yang konfrontatif cenderung tidak berjalan baik.	Sebab, Sebelas ribu langkah-langkah yang konfrontatif cenderung tidak berjalan baik.
8_007	Sebabnya, balita masih berada dalam fase oral.	Sebabnya, balita masih berada dalam fase oral.
8_008	Sebagai alat bayar, ini ancaman utama bagi ekonomi AS ujar Sekretaris Pers Gedung Putih.	Sebagai alat bayar, ini ancaman utama bagi Ekonomi A-ES ujar SEkretaris PErs Gedung Putih.
8_009	Sebagai kelanjutan dari pailitnya Dharmala ini.	Sebagai kelanjutan dari pai-lit-nya Dharmala ini.
8_010	Sebagai salah satu wujud komitmen itu orang Minang temui Syahril Rabu pagi.	Sebagai salah satu wujud komitmen itu, orang Minang temui Syah-ril Rabu pagi.
8_011	Sebagai Yesus Kristus yang terkapar di aspal.	Sebagai YEsus Kristus yang terkapar di aspal.
8_012	Sebagian mengendarai sepeda motor dengan raungan knalpot.	Sebagian mengendarai sepEda motor dengan raungan knalpot.
8_013	Sebagian petani cengkeh yang frustrasi terpaksa menebang pohon cengkehnya.	Sebagian petani cengkEh yang frustrasi terpaksa menebang pohon cengkEhnya.
8_014	Sebaliknya RRC meraih kinerja ekonomi amat cemerlang.	Sebaliknya ER-ER-CE meraih kinerja Ekonomi amat cemerlang.
8_015	Sebaliknya, Korsel tetap ngotot untuk mengejar.	Sebaliknya, KorsEl tetap ngotot untuk mengejar.
8_016	Sebelas siang tepat ada ogoh-ogoh.	Sebelas siang tepat ada ogoh-ogoh.
8_017	Sebelum fajar menyingsing di samping Hotel Amboina Sang Eyang Putri menunggu.	Sebelum fajar menyingsing, di samping HotEl Amboina Sang Eyang Putri menunggu.
8_018	Sebelum grup-grup seni dan aktor-aktor cerdas bisa tumbuh.	Sebelum grup-grup seni dan aktor-aktor cerdas bisa tumbuh.
8_019	Sebelum periode Cacuk makin krisis.Yozi yakin dengan wewenang Menkeu.	Sebelum pEriode Cacuk makin krisis, Yozi yakin dengan WEwEnang MEnkeu.
8_020	Sebelumnya harus dikonfirmasikan ke bulog dulu.	Sebelumnya harus dikonfirmasikan ke bulog dulu.
8_021	Sebelumnya Tempo juga berkali-kali gagal menghubungi telpon genggam Fariz tersebut.	Sebelumnya, TEmpo juga berkali-kali gagal menghubungi telpon genggam Fariz tersebut.
8_022	Sebenarnya rem-rem itu sudah diberi pengaman, tetapi mau gimana lagi.	Sebenarnya REm-REm itu sudah diberi pengaman, tetapi mau gimana lagi.
8_023	Sebenarnya Tommy ingin turun tangan sendiri menghabisi Syafiuddin.	Sebenarnya Tommy ingin turun tangan sendiri menghabisi Sya-fi-yud-din.
8_024	Sebuah boks reklame juga pecah pukul sebelas pas malam.	Sebuah boks rEklame juga pecah pukul sebelas pas malam.
