9_001	Termasuk terhadap penyelewengan-penyelewengan yang terjadi di lingkungan Pemda DKI.	Termasuk terhadap penyelEwEngan-penyelEwEngan yang terjadi di lingkungan PEmda DE-KA-I.
9_002	Ternyata kendaraan itu disewa oleh beberapa orang.	Ternyata kendaraan itu disEwa olEh beberapa orang.
9_003	Terorisme khususnya merusak tertib sosial tegas Drajad Hadiwijoyo.	TErorisme khususnya merusak tertib sosial, tegas Drajad Hadiwijoyo.
9_004	Terus kelihatan ada asap ngepul dari sayap.	Terus kelihatan ada asap ngepul dari sayap.
9_005	Terus untuk pembayarannya sendiri kapan?	Terus untuk pembayarannya sendiri kapan?
9_006	Terutama daging sapi yang relatif empuk dibanding daging kerbau.	Terutama daging sapi yang rElatif empuk dibanding daging kerbau.
9_007	Terutama untuk sub produk tetap harus melalui UUD.	Terutama untuk sub produk tetap harus melalui U-U-DE.
9_008	Tetangga Enjam tampak tak gentar menghadapi lebatnya hujan dan petir.	Tetangga enjam tampak tak gentar menghadapi lebatnya hujan dan petir.
9_009	Tetapi bagi Modern Grup, Fadel tetap dinyatakan pailit.	Tetapi bagi ModEren Grup, FadEl tetap dinyatakan pailit.
9_010	Tetapi ia tidak memberikan detail lebih jauh, cuma ngomong-ngomong biasa.	Tetapi ia tidak memberikan de-ta-il lebih jauh, cuma ngomong-ngomong biasa.
9_011	Tetapi kalau implementasi pada tingkat paling rendah seperti ini.	Tetapi kalau implemEntasi pada tingkat paling rendah seperti ini.
9_012	Tetapi Ketua Fraksi PKB Taufikurrahman Saleh usai rapat Bamus mengatakan ya ya ya saja.	Tetapi Ketua Fraksi PE-KA-BE, Taufikurrahman SalEh usai rapat Bamus mengatakan ya ya ya saja.
9_013	Tetapi makanan yang kita konsumsi pakai nasi tidak cukup gizinya.	Tetapi makanan yang kita konsumsi pakai nasi tidak cukup gizinya.
9_014	Tetapi nggak bener, karena ini urusan ukhrowi.	Tetapi engga bener, karena ini urusan ukh-ro-wi.
9_015	Tetapi Nyepi bagi Theo Waimuri adalah juga sebuah gerakan.	Tetapi nyepi bagi ThEo Waimuri adalah juga sebuah gerakan.
9_016	Tetapi partai juga keberatan apabila amandemen terlampau jauh merombak tata kenegaraan Indonesia.	Tetapi partai juga keberatan apabila amandemEn terlampau jauh merombak tata kenegaraan IndonEsia.
9_017	Tetapi prakarsa itu kadang diartikan sebagai egoisme sempit.	Tetapi prakarsa itu kadang diartikan sebagai Egoisme sempit.
9_018	Theo Sambuaga terhuyung-huyung ke luar, dan berkata tidak apa eksekutif kotor!	ThEo Sambuaga terhuyung-huyung ke luar, dan berkata tidak apa Eksekutif kotor!
9_019	Theo Syafei tidak lapor ke orangtuanya	ThEo Sya-fE-i tidak lapor ke orangtuanya
9_020	Theo Tumion mengikuti rekrutmen calon hakim.	ThEo Tumion mengikuti rEkrutmen calon hakim.
9_021	Tiadanya David Beckham dan Roy ketika meminum Vodka Jumbo usai syukuran kemenangan.	Tiadanya David BEkham dan Roy ketika meminum Vodka Jumbo usai syukuran kemenangan.
9_022	Tiang pemancar terlihat patah dan menyender ke gedung di sebelahnya.	Tiang pemancar terlihat patah dan menyEndEr ke gedung di sebelahnya.
9_023	Tiap akhir pekan Ancol tetap ramai pengunjung.	Tiap akhir pekan Ancol tetap ramai pengunjung.
9_024	Tiba-tiba Mathias nyelonong ke depan mikrofon di atas panggung.	Tiba-tiba Ma-thi-yas nyelonong ke depan mikrofon di atas panggung.
9_025	Tidak ada itu, tidak ada perbedaan makanan antar blok.	Tidak ada itu, tidak ada perbedaan makanan antar blok.
9_026	Tidak ada maksud khusus, sergah Akbar.	Tidak ada maksud khusus, sergah Akbar.
9_027	Uh kenapa tidak ada ojek motor dari dan ke desa ini.	Uh kenapa tidak ada ojEk motor dari dan ke dEsa ini.
9_028	Tidak akan selesai-selesai gejolak di Aceh.	Tidak akan selesai-selesai gejolak di AcEh.
9_029	Tidak benar informasi yang membuat kacau macam itu, jelas Syofian.	Tidak benar informasi yang membuat kacau macam itu, jelas Syo-fi-yan.
9_030	Tidak boleh ada pengabaian hukum undang-undang khusus korupsi.	Tidak bolEh ada pengabaian hukum undang-undang khusus korupsi.
9_031	Tidak boleh ngebut-ngebutan di jalan dan seterusnya.	Tidak bolEh ngebut-ngebutan di jalan dan seterusnya.
9_032	Tidak boleh pakai kerudung tapi pakai lipstik, papar Tengku Syaiful Ahmad yang berasal dari Aceh.	Tidak bolEh pakai kerudung tapi pakai lipstik, papar Tengku Syaiful Ahmad yang berasal dari AcEh.
9_033	Tidak hirau lagi dengan hak mereka yang paling mendasar.	Tidak hirau lagi dengan hak mereka yang paling mendasar.
9_034	Tidak lucu Gubernur bank sentral ditahan terus seperti sekarang.	Tidak lucu Gubernur bank SEntral ditahan terus seperti sekarang.
9_035	Tidak mirip warung nasi sunda, jawab Noval.	Tidak mirip warung nasi sunda, jawab Noval.
9_036	Tidak perlu disiapkan Rantap Khusus untuk keperluan itu.	Tidak perlu disiapkan Rantap Khusus untuk keperluan itu.
9_037	Tidak saja Ciamis tapi Ujungpangkah Gresik maupun Wonosobo yang akan rugi.	Tidak saja Ciamis tapi Ujungpangkah Gresik maupun Wonosobo yang akan rugi.
9_038	Situasinya tidak seperti di Somalia atau Irak.	Situasinya tidak seperti di Somalia atau Irak.
9_039	Tidak terus merecoki perjalanannya sebagai Bupati Sampang.	Tidak terus merEcoki perjalanannya sebagai Bupati Sampang.
9_040	Tidak usah pakai skenario, timpal Sri Rossyati.	Tidak usah pakai skEnario, timpal Sri Ros-si-yati.
