4_001	Prof Dr Jimly Asshiddiqie terpilih sebagai ketua umum Ikatan Cendekiawan Muslim Indonesia atau ICMI.	Prof DE-Er Jimli As-shid-diq terpilih sebagai ketua umum Ikatan Cendekiawan Muslim IndonEsia atau ICMI.
4_002	Jimly Asshiddiqie juga merupakan ketua Dewan Kehormatan Penyelenggara Pemilu atau DKPP.	Jimli As-shid-diq juga merupakan ketua dEwan Kehormatan Penyelenggara Pemilu atau DE-KA-PE-PE.
4_003	Pemilihan ketua umum dilakukan secara musyawarah mufakat di antara tujuh formatur yang terpilih.	Pemilihan ketua umum dilakukan secara musyawarah mufakat di antara tujuh formatur yang terpilih.
4_004	"Ketujuh formatur itu adalah Ilham Habibie, Jimly Asshiddiqie, Zulkifli Hasan, Priyo Budi Santoso, Muhammad Nuh, Herry  Suhardiyanto dan Hatta Rajasa."	"Ketujuh formatur itu adalah Ilham Habibi, Jimli As-shid-diq, Zulkifli Hasan, Priyo Budi Santoso, Muhammad Nuh, Her-ri  Suhardiyanto dan Hat-ta Rajasa."
4_005	"Pemilihan diawali dengan usulan nama dari peserta Muktamar Orwil, Orda, Orsat yang dibawa ke Majelis Permusyawaratan Muktamar."	"Pemilihan diawali dengan usulan nama dari peserta Muktamar Orwil, Orda, Orsat yang dibawa ke Majelis Permusyawaratan Muktamar."
4_006	"Anggota Majelis Permusyawaratan Muktamar adalah presidium demisioner, ketua dewan penasihat, ketua dewan pakar."	"Anggota Majelis Permusyawaratan Muktamar adalah prEsidium dEmisionEr, ketua dEwan penasihat, ketua dEwan pakar."
4_007	"Dengan ICMI, Indonesia sebagai model Islam yang rahmatan lil alamin menjadi model bagi negara-negara lain."	"Dengan ICMI, IndonEsia sebagai modEl Islam yang rahmatan lil alamin menjadi modEl bagi negara-negara lain."
4_008	"Wakil Ketua MPR Oesman Sapta memberi sambutan dalam Rakernas APERSI tanggal dua belas Desember dua ribu lima belas di Makassar, Sulawesi Selatan."	"Wakil Ketua EM-PE-ER Usman Sapta memberi sambutan dalam Rakernas apErsi tanggal dua belas DEsEmber dua ribu lima belas di Makassar, Sulawesi Selatan."
4_009	"Dikatakan Oesman Sapta bahwa saat ini seluruh masyarakat apakah itu pegawai negeri, anggota Polri dan TNI membutuhkan rumah."	"Dikatakan Usman Sapta bahwa saat ini seluruh masyarakat apakah itu pegawai negeri, anggota Polri dan TE-EN-I membutuhkan rumah."
4_010	Ketua APERSI Edy Ganefo mengatakan pengembang rumah yang bernaung di organisasinya mencapai emapt ribu pengusaha.	Ketua apErsi Edi GanEfo mengatakan pengembang rumah yang bernaung di organisasinya mencapai empat ribu pengusaha.
