1_001	Abdurrahman Wahid cenderung memasukkan orangnya dan menggusur kader partai lain.	Abdurrahman Wahid cenderung memasukkan orangnya dan menggusur kader partai lain.
1_002	Abstain itu kan artinya tidak setuju.	Ab-stEin itu kan artinya tidak setuju.
1_003	Acara yang dimulai tepat setelah Dzuhur itu dibuka oleh Abdul Syukur.	Acara yang dimulai tepat setelah zuhur itu dibuka olEh Ab-dul Syu-kur.
1_004	Acung yang duduk di depan menodongkan pisau kepada Achmad Kalla.	Acung yang duduk di depan menodongkan pisau kepada Ah-mad Kal-la.
1_005	Ada danau dan ferry kecil di Kampus Unsyiah.	Ada danau dan fErry kecil di Kampus Unsyiah.
1_006	Ada informasi bahwa Abdus Syukur membeli senjata dari pasar gelap Cipacing.	Ada informasi bahwa Ab-dus Syu-kur membeli senjata dari pasar gelap Cipacing.
1_007	Ada informasi dari Ucok bahwa langkah Jaksa Agung diboikot oleh stafnya.	Ada informasi dari Ucok bahwa langkah Jaksa Agung diboikot olEh stafnya.
1_008	Ada keanehan pada biaya pemakaian PDAM bulan Januari sebanyak enam ribu lima ratus.	Ada keanEhan pada biaya pemakaian PE-DE-A-EM bulan Januari sebanyak enam ribu lima ratus.
1_009	Ada kekhawatiran di hati Adi Solichin untuk melaksanakan Ijab kabul.	Ada kekhawatiran di hati Adi So-li-hin untuk melaksanakan Ijab kabul.
1_010	Ada masalah apa dengan Abay Bachtiar? Tanya Haji Syakir.	Ada masalah apa dengan Abay Bah-ti-yar? Tanya Haji Sya-kir.
1_011	Ada nomer telepon bagian pelayanan Bidang pemasaran PT Telkomsel?	Ada nomer telepon bagian pelayanan Bidang pemasaran PE-TE TElkomsEl?
1_012	Ada survei jam dua dari Divisi Marketing ujar Adnan Buyung Nasution.	Ada survEy jam dua dari Divisi MarkEting ujar Adnan Buyung Nasution.
1_013	Ada tipe Hongkong, Singapura dan Malaysia, atau Cina.	Ada tipe Hongkong, Singapura dan Malaysia, atau Cina.
1_014	Adalah kewenangan Menkeu untuk mengetahui ada atau tidak sumbernya.	Adalah kewenangan MEnkeu untuk mengetahui ada atau tidak sumbernya.
1_015	Adapun terhadap tersangka Buloggate lainnya dikenakan hukuman setimpal.	Adapun terhadap tersangka Bulog-gEit lainnya dikenakan hukuman setimpal.
1_016	Ade Ahmad tidak setuju Ucok mengawini saudaranya.	AdE Ahmad tidak setuju Ucok mengawini saudaranya.
1_017	Adis adalah panggilan akrab Khadijah untuk Megawati.	Adis adalah panggilan akrab Kha-di-jah untuk MEgawati.
