5_001	Kekuasaan itu absurd klaim Irham kemarin siang.	Kekuasaan itu ab-surd klaim Irham kemarin siang.
5_002	Kekuatan reformasi dan status quo itu ibarat minyak dan air.	Kekuatan rEformasi dan status quo itu ibarat minyak dan air.
5_003	Kelelawar dan tupai mengganggu tanamannya keluh Novi.	Kelelawar dan tupai mengganggu tanamannya keluh Novi.
5_004	Kelompok Front Pembela Proklamasi berdomisili di Kelurahan Dawuhan.	Kelompok Front PembEla Proklamasi berdomisili di Kelurahan Dawuhan.
5_005	Kembali Jung-hwan mengancam dengan tendangan keras.	Kembali Jung-hwan mengancam dengan tendangan keras.
5_006	Kembali ke Inggris tanpa kemenangan keluh Sri.	Kembali ke Inggris tanpa kemenangan keluh Sri.
5_007	Kembali ke obrolan warung kopi tadi.	Kembali ke obrolan warung kopi tadi.
5_008	Kemerdekaan Timor Lorosae juga diumumkan kemarin pagi.	Kemerdekaan Timor Loro-saE juga diumumkan kemarin pagi.
5_009	Kemudian kemarin lusa mereka dibawa ke UNHCR.	Kemudian kemarin lusa mereka dibawa ke U-EN-HA-CE-ER.
5_010	Kemudian muncul istilah lagu cengeng keluh Syofian.	Kemudian muncul istilah lagu cEngEng keluh Syofian.
5_011	Kenaikan PBB akan mengakibatkan melonjaknya NJOP.	Kenaikan PE-BE-BE akan mengakibatkan melonjaknya EN-JE-O-PE.
5_012	Kenaikan tarif feri Ketapang-Gilimanuk dimulai kemarin sore.	Kenaikan tarif fEri Ketapang-Gilimanuk dimulai kemarin sorE.
5_013	Kenapa saudara tidak pakai otak? katanya disambut riuh wartawan.	Kenapa saudara tidak pakai otak? katanya disambut riuh wartawan.
5_014	Kendaraan besar diharapkan melalui jalan alternatif jika menuju Banyuwangi.	Kendaraan besar diharapkan melalui jalan alternatif jika menuju Banyuwangi.
5_015	"Kendati begitu, Puji enggan menyebut siapa tersangka yang dimaksudnya itu."	"Kendati begitu, Puji enggan menyebut siapa tersangka yang dimaksudnya itu."
5_016	"Kendati demikian, Sulistio enggan menjelaskan mengenai alasan yang dimaksudkan."	"Kendati demikian, Sulistio enggan menjelaskan mengenai alasan yang dimaksudkan."
5_017	Kepada Koran Tempo Fakhruddin mengatakan bahwa pelakunya mahasiswa.	Kepada Koran TEmpo Fakhruddin mengatakan bahwa pelakunya mahasiswa.
5_018	Kepentingan mereka yakni ukhuwah Islamiyah dan penegakan syariah.	Kepentingan mereka yakni ukhuwah Islamiyah dan penegakan sya-ri-ah.
5_019	Kepolisian daerah dibom pada Kamis sore.	Kepolisian daErah dibom pada Kamis sorE.
5_020	Kepolisian sektor dan Kepolisian wilayah saling bekerja sama.	Kepolisian sEktor dan Kepolisian wilayah saling bekerja sama.
5_021	Kerusakan terjadi karena sistem wesel rel yang tidak sempurna.	Kerusakan terjadi karena sistem wEsel rEl yang tidak sempurna.
5_022	Kesal dengan sikap Srie Atidah yang dianggap mbalelo.	Kesal dengan sikap Sri Atidah yang dianggap mbalElo.
5_023	Kesalahan yang dilakukan Golkar di masa lampau harus ditebus.	Kesalahan yang dilakukan Golkar di masa lampau harus ditebus.
5_024	Kesibukan tidak pernah berhenti sepanjang hari sejak selepas dzuhur.	Kesibukan tidak pernah berhenti sepanjang hari sejak selepas dzuhur.
5_025	Kesowo tersenyum usai pelantikan Kabinet Gotong Royong di Istana Negara.	Kesowo tersenyum usai pelantikan KabinEt Gotong Royong di Istana Negara.
5_026	"Ketahuan bawa Ajinomoto, dua pedagang Bakso nyaris dikeroyok."	"Ketahuan bawa Ajinomoto, dua pedagang Bakso nyaris dikeroyok."
5_027	Keterangan keluarga Fariz dan Polda berbeda.	Keterangan keluarga Fariz dan Polda berbEda.
5_028	Ketiga pekerja itu bukan pegawai Mal Ciputra.	Ketiga pekerja itu bukan pegawai Mal Ciputra.
5_029	Ketiganya warga Jalan Tirai Cipete Utara.	Ketiganya warga Jalan Tirai CipetE Utara.
5_030	Ketika akan dibaiat Khotib Syuriah PBNU.	Ketika akan dibaiat Khotib Syu-ri-ah PE-BE-EN-U.
5_031	"Ketika digerebek polisi, kesehatan sejumlah bayi mencemaskan."	"Ketika digerebek polisi, kesEhatan sejumlah bayi mencemaskan."
5_032	Ketika ditanya tentang keberadaan Fariz saat itu.	Ketika ditanya tentang keberadaan Fariz saat itu.
5_033	Ketika konvoi memasuki Kabul.	Ketika konvoi memasuki Kabul.
5_034	Ketika menerima surat itu Dubes Qatar sempat bertanya.	"Ketika menerima surat itu, Dubes Qatar sempat bertanya."
5_035	Ketika mereka mengklaim telah melakukan uji sohih.	Ketika mereka mengklaim telah melakukan uji sohih.
5_036	Ketika orang GAM nggak mereka temukan.	Ketika orang GAM enggak merEka temukan.
5_037	Ketika para malaikat menengok Kitab catatan amal manusia.	Ketika para malaikat menEngok Kitab catatan amal manusia.
5_038	Ketika Presiden ngomong dekrit.	Ketika prEsiden ngomong dEkrit.
5_039	Ketika satu episode dari sebuah acara ditayangkan.	Ketika satu Episode dari sebuah acara ditayangkan.
5_040	Ketika tengah mengucek-ucek mata.	Ketika tengah mengucek-ucek mata.
5_041	Ketika tiba di kawasan Kedai Runding.	Ketika tiba di kawasan Kedai Runding.
5_042	Ketua Umum Partai Masyumi Abdullah Hehamahua.	Ketua Umum Partai Masyumi Ab-dul-lah HEhamahua.
5_043	Ketua Umum YLBHI Irianto menyatakan kekalahan itu.	Ketua Umum YE-EL-BE-HA-I Irianto menyatakan kekalahan itu.
5_044	"Khusus bagi Goa Nyai, goa ini sangat tabu."	"Khusus bagi Goa Nya-i, goa ini sangat tabu."
5_045	Khusus khitanan massal dipusatkan di Medan.	Khusus khitanan massal dipusatkan di MEdan.
5_046	Kicau burung karya Khrisna Murti.	Kicau burung karya Khrisna Murti.
5_047	Kini digelari sebagai Grup Pop Progresif Terbaik.	Kini digelari sebagai Grup Pop ProgrEsif Terbaik.
5_048	Kini pun ternyata telah melampaui Indonesia.	Kini pun ternyata telah melampaui IndonEsia.
5_049	Kini terhenyak lunglai di hadapan puing-puing bangunan imajinasinya sendiri.	Kini terhenyak lunglai di hadapan puing-puing bangunan imajinasinya sendiri.
5_050	"Kini, Kaleb masih kritis di RS Herna, Medan."	"Kini, KalEb masih kritis di ER-ES Herna, MEdan."
5_051	"Menurut Pujobroto, pemilihan tipe ini berdasarkan dua alasan utama."	"Menurut Pu-jo-bro-to, pemilihan tipe ini berdasarkan dua alasan utama."
5_052	Menurut Smith ini skenario awal pilot helikopter itu.	Menurut Smith ini skEnario awal pilot hElikopter itu.
5_053	Menurut staf Kantor Penghubung Konsul Jenderal RI di Tawau.	Menurut staf Kantor Penghubung Konsul JEnderal ER-I di Tawau.
5_054	Menurut Suroyo Bimantoro dan Wakapolri Komjen Ismail tersangkanya menjurus ke Oknum Polisi.	Menurut Suroyo Bimantoro dan Wakapolri KomjEn Ismail tersangkanya menjurus ke oknum polisi.
5_055	"Menurut Taj Hamad, Natzir adalah pemilik Sahid Grup ini."	"Menurut Taj Ha-mad, Nat-zir adalah pemilik Sahid Grup ini."
5_056	Menurut Theo hal itu tidak akan menjadi masalah selama menyukai hidup.	Menurut ThEo hal itu tidak akan menjadi masalah selama menyukai hidup.
5_057	"Menurut Tyasno, Zen, dan Yuen hasil survei dilakukan PT BAIK."	"Menurut Tyasno, ZEn, dan YuEn hasil survEi dilakukan PE-TE BA-IK."
5_058	Menurut Wakil Kepala Satuan Reserse Iptu Darmono status Zakaria tetap sebagai saksi.	Menurut Wakil Kepala Satuan REserse Ip-tu Dar-mono status Za-ka-ri-ya tetap sebagai saksi.
5_059	Menurut WHO ini menyangkut kunjungan Howard ke UGM.	Menurut WE-HA-O ini menyangkut kunjungan Ho-ward ke U-GE-EM.
5_060	"Menurut Zohra, Soebowo Musa menyewa mobil Slamet Prawiro."	"Menurut Zoh-ra, Subowo Musa menyEwa mobil Sla-met Pra-wi-ro."
5_061	Menurut Zuheir mereka enggak percaya.	Menurut Zu-hEir mereka enggak percaya.
5_062	Menurut Zumrotin mereka mulai khawatir.	Menurut Zumrotin mereka mulai khawatir.
5_063	Menutup pidatonya soal harga kios yang mencapai ratusan juta rupiah. .	Menutup pidatonya soal harga kios yang mencapai ratusan juta rupiah.
5_064	Menyadari bahwa Bangau adalah korban kecelakaan yang sudah dimakamkan.	Menyadari bahwa Bangau adalah korban kecelakaan yang sudah dimakamkan.
5_065	Menyesalkan penahanan suaminya yang dinilai tidak memenuhi mekanisme yuridis.	Menyesalkan penahanan suaminya yang dinilai tidak memenuhi mEkanisme yuridis.
5_066	Menyiapkan kue atau ke pasar membeli pakaian baru.	Menyiapkan kuE atau ke pasar membeli pakaian baru.
5_067	Merayakan seabad Gereja Katedral adalah merayakan puncak keagungan sebagai bangunan.	Merayakan seabad GerEja Katedral adalah merayakan puncak keagungan sebagai bangunan.
5_068	Merek dan Hak Cipta Bimoli merupakan tanggung jawab Bea dan Cukai.	MErek dan Hak Cipta Bimoli merupakan tanggung jawab BEa dan Cukai.
5_069	Mereka adalah Khalil Fuad dan Mukhtar.	Mereka adalah Kha-lil Fuad dan Mukh-tar.
5_070	Mereka juga telah mengenal konsep globalisasi dengan baik.	Mereka juga telah mengenal konsEp globalisasi dengan baik.
5_071	Mereka komplain kalau aransemennya diubah.	Mereka komplain kalau aransemEnnya diubah.
