1_001	ABDURRAHMAN WAHID CENDERUNG MEMASUKKAN ORANGNYA DAN MENGGUSUR KADER PARTAI LAIN	ABDURRAHMAN WAHID CeNDeRUNG MeMASUKKAN ORANGNYA DAN MeNGGUSUR KADeR PARTAI LAIN
1_002	ABSTAIN ITU KAN ARTINYA TIDAK SETUJU	AB-STEIN ITU KAN ARTINYA TIDAK SeTUJU
1_003	ACARA YANG DIMULAI TEPAT SETELAH DZUHUR ITU DIBUKA OLEH ABDUL SYUKUR	ACARA YANG DIMULAI TePAT SeTeLAH ZUHUR ITU DIBUKA OLEH AB-DUL SYU-KUR
1_004	ACUNG YANG DUDUK DI DEPAN MENODONGKAN PISAU KEPADA ACHMAD KALLA	ACUNG YANG DUDUK DI DePAN MeNODONGKAN PISAU KePADA AH-MAD KAL-LA
1_005	ADA DANAU DAN FERRY KECIL DI KAMPUS UNSYIAH	ADA DANAU DAN FERRY KeCIL DI KAMPUS UNSYIAH
1_006	ADA INFORMASI BAHWA ABDUS SYUKUR MEMBELI SENJATA DARI PASAR GELAP CIPACING	ADA INFORMASI BAHWA AB-DUS SYU-KUR MeMBeLI SeNJATA DARI PASAR GeLAP CIPACING
1_007	ADA INFORMASI DARI UCOK BAHWA LANGKAH JAKSA AGUNG DIBOIKOT OLEH STAFNYA	ADA INFORMASI DARI UCOK BAHWA LANGKAH JAKSA AGUNG DIBOIKOT OLEH STAFNYA
1_008	ADA KEANEHAN PADA BIAYA PEMAKAIAN PDAM BULAN JANUARI SEBANYAK ENAM RIBU LIMA RATUS	ADA KeANEHAN PADA BIAYA PeMAKAIAN PE-DE-A-EM BULAN JANUARI SeBANYAK eNAM RIBU LIMA RATUS
1_009	ADA KEKHAWATIRAN DI HATI ADI SOLICHIN UNTUK MELAKSANAKAN IJAB KABUL	ADA KeKHAWATIRAN DI HATI ADI SO-LI-HIN UNTUK MeLAKSANAKAN IJAB KABUL
1_010	ADA MASALAH APA DENGAN ABAY BACHTIAR TANYA HAJI SYAKIR	ADA MASALAH APA DeNGAN ABAY BAH-TI-YAR TANYA HAJI SYA-KIR
1_011	ADA NOMER TELEPON BAGIAN PELAYANAN BIDANG PEMASARAN PT TELKOMSEL	ADA NOMeR TeLePON BAGIAN PeLAYANAN BIDANG PeMASARAN PE-TE TELKOMSEL
1_012	ADA SURVEI JAM DUA DARI DIVISI MARKETING UJAR ADNAN BUYUNG NASUTION	ADA SURVEY JAM DUA DARI DIVISI MARKETING UJAR ADNAN BUYUNG NASUTION
