2_001	Diakui Wahid dia menyodorkan bukti yang sangat kuat. Diakui Wahid dia menyodorkan bukti yang sangat kuat.	
2_002	Dialog Nyaris Ricuh hingga akhirnya dialog gagal dilakukan.	Dialog nyaris ricuh hingga akhirnya dialog gagal dilakukan.
2_003	Didampingi ibunya, Rosbiri Rining, Bangau mampu berjalan biasa.	Didampingi ibunya, Rosbiri Rining, Bangau mampu berjalan biasa.
2_004	Diet ia jaga, dengan menu utama ayam, ikan, dan sayur-mayur.	DiEt ia jaga, dengan menu utama ayam, ikan, dan sayur-mayur.
2_005	Dijelaskan, masuknya Hasyim membuat pusing Rutan Salemba.	Dijelaskan, masuknya Hasyim membuat pusing Rutan Salemba.
2_006	Dilarang corat-coret di spanduk dan tembok.	Dilarang corat-corEt di spanduk dan tEmbok.
2_007	Dimana alamat kantor pelayanan?	Dimana alamat kantor pelayanan?
2_008	Dinilai Eddy, Etnis Tionghoa harus lebih berperan aktif terjun dalam masalah-masalah bangsa.	Dinilai Eddy, Etnis Tionghoa harus lebih berperan aktif terjun dalam masalah-masalah bangsa.
2_009	Dinilai Sri, DPRD asyik dengan mengejar jabatan dan uang.	Dinilai Sri, DE-PE-ER-DE asyik dengan mengejar jabatan dan uang.
2_010	Dipo Alam menilai konflik elit merupakan wujud nafsu berkuasa.	Dipo Alam menilai konflik Elit merupakan wujud nafsu berkuasa.
2_011	Disampaikan juga bahwa WBC akan memberikan bantuan kepada Indonesia.	Disampaikan juga bahwa WE-BE-CE akan memberikan bantuan kepada IndonEsia.
2_012	Ditemukannya jenazah Sertu Roy Irawan di Banyuwangi jam sebelas tadi.	Ditemukannya jenazah Sertu Roy Irawan di Banyuwangi jam sebelas tadi.
2_013	Ditetapkannya percakapan lokal zona tunggal akan menguntungkan konsumen Jakarta.	Ditetapkannya percakapan lokal zona tunggal akan menguntungkan konsumEn Jakarta.
2_014	Djakfar Murod menjabat kepala Divisi sistem informasi.	Djakfar Murod menjabat kepala Divisi sistem informasi.
2_015	Dokumen apa saja yang harus saya siapkan besok pagi?	DokumEn apa saja yang harus saya siapkan bEsok pagi?
2_016	Dua puluh satu orang dari BEM UI dan IPB unjuk rasa di Istana Merdeka.	Dua puluh satu orang dari BEM UI dan I-PE-BE unjuk rasa di Istana MerdEka.
2_017	Dua wanita tadi bekerja di Korps Wanita Indonesia yang berkantor di Jalan Kyai Maja.	Dua wanita tadi bekerja di Korps Wanita IndonEsia yang berkantor di Jalan Kyai Maja.
2_018	Dufan tetap dibuka seperti biasanya ujar Yuwono.	Dufan tetap dibuka seperti biasanya ujar Yuwono.
2_019	Dukungan IMF cukup besar terhadap kita ujar Emir Qatar.	Dukungan I-EM-EF cukup besar terhadap kita ujar Emir Qatar.
2_020	Dulu Glenn Yusuf diganti karena dinilai lamban.	Dulu GlEnn Yusuf diganti karena dinilai lamban.
2_021	Dulu orang skeptis terhadap dia sebagai Dubes Filipina.	Dulu orang skEptis terhadap dia sebagai Dubes Filipina.
2_022	Eh Avi ejek Ratna Dewi.	Eh Avi EjEk Ratna DEwi.
2_023	Ekonom Faisal Basri dan Eki Syachrudin berdebat di ANTV.	Ekonom Faisal Basri dan Eki Syachrudin berdebat di AN-TE-VE.
2_024	Ekonom Sri Mulyani Indrawati dicurigai sebagai Ekonomi kaum neo imperialisme.	Ekonom Sri Mulyani Indrawati dicurigai sebagai Ekonomi kaum nEo imperialisme.
2_025	Eks Karma dihimbau hindari tindakan destruktif.	Eks Karma dihimbau hindari tindakan dEstruktif.
2_026	Elit PKB kongkow-kongkow di Ciganjur sambil mendengarkan koleksi Nasyid terbaik.	Elit PE-KA-BE kongkow-kongkow di Ciganjur sambil mendengarkan kolEksi Nasyid terbaik.
2_027	Elza enggan berkomentar dan berusaha menghindari wartawan.	Elza enggan berkomEntar dan berusaha menghindari wartawan.
2_028	Elza memungkiri telah menyuap Rahmat.	Elza memungkiri telah menyuap Rahmat.
2_029	Elza Syarief mengakui kalau hukum masih dipengaruhi uang.	Elza Syarif mengakui kalau hukum masih dipengaruhi uang.
2_030	Elza Syarif melalui kuasa hukumnya Feri Amahorseya.	Elza Syarif melalui kuasa hukumnya FEri AmahorsEya.
2_031	Enggak benar kalau perempuan dibilang malu dan pasif soal jodoh.	Enggak benar kalau perempuan dibilang malu dan pasif soal jodoh.
2_032	Episentrum gempa Liwa terletak di daratan.	EpisEntrum gempa Liwa terletak di daratan.
2_033	Esai harus karya orisinil dan belum pernah dipublikasikan media massa.	Esai harus karya orisinil dan belum pernah dipublikasikan mEdia massa.
2_034	Filipina belum tuduh dwikarna terlibat pengeboman di Jakarta.	Filipina belum tuduh dwikarna terlibat pengeboman di Jakarta.
2_035	Film yang terdiri dari lima episode ini dibuat di Florida.	Film yang terdiri dari lima Episode ini dibuat di Florida.
