6_001	Fraksi Partai Demokrat di MPR menggelar sarasehan dengan tema GBHN.	Fraksi Partai DEmokrat di EM-PE-ER menggelar sarasEhan dengan tEma GE-BE-HA-EN.
6_002	GBHN merupakan garis besar atau Sistem Perencanaan Pembangunan Nasional.	GE-BE-HA-EN merupakan garis besar atau Sistem Perencanaan Pembangunan Nasional.
6_003	Hidayat Nur Wahid mengkhawatirkan jika MEA berlaku maka narkoba semakin mengancam	Hidayat Nur Wahid mengkhawatirkan jika MEA berlaku maka narkoba semakin mengancam
6_004	Pada awal dua ribu enam belas, Masyarakat Ekonomi atau MEA ASEAN mulai berlaku.	Pada awal dua ribu enam belas, Masyarakat Ekonomi atau MEA ASEAN mulai berlaku.
6_005	Simposium itu bertema Refleksi Nasional Praktik Konstitusi dan Ketatanegaraan Pasca Reformasi.	Simposium itu bertEma REflEksi Nasional Praktik Konstitusi dan Ketatanegaraan Pasca REformasi.
6_006	Ketua MPR Zulkifli Hasan berpendapat bahwa ada capaian positif dalam perkembangan demokratisasi	Ketua EM-PE-ER Zulkifli Hasan berpendapat bahwa ada capaian positif dalam perkembangan dEmokratisasi
6_007	Pimpinan MPR RI Tutup Secara Resmi Outbound empat Pilar MPR di Bengkulu.	Pimpinan EM-PE-ER ER-I tutup secara resmi aut-bound empat Pilar EM-PE-ER di Bengkulu.
6_008	Kepala Kesbangpol Kabupaten Magelang Arya Humanita mengatakan kegiatan sosialisasi ini untuk menumbuhkan rasa nasionalisme.	Kepala Kesbangpol KabupatEn Magelang Arya Humanita mengatakan kegiatan sosialisasi ini untuk menumbuhkan rasa nasionalisme.
6_009	Upacara bendera ditujukan untuk memupuk rasa nasionalisme di tengah menurunnya rasa kebangsaan.	Upacara bendEra ditujukan untuk memupuk rasa nasionalisme di tengah menurunnya rasa kebangsaan.
6_010	Wakil Presiden Jusuf Kalla meminta pemangku kepentingan untuk mengevaluasi pembelian helikopter kepresidenan produk Agusta Westland.	Wakil PrEsidEn Yusuf Kalla meminta pemangku kepentingan untuk meng-Evaluasi pembelian hElikopter keprEsidEnan produk Agusta WEst-lend.
6_011	Kalau negeri ini mau maju maka harus membangun pendidikan dan rumah sakit kata Ketua MPR DR. HC. Zulkifli Hasan.	Kalau negri ini mau maju maka harus membangun pendidikan dan rumah sakit kata Ketua EM-PE-ER DE-ER. HA-CE. Zulkifli Hasan.
6_012	Peresmian Paviliun B RSU Siloam di Lippo Karawaci dilakukan minggu lalu.	Peresmian Paviliun BE ER-ES-U Siloam di Lippo Karawaci dilakukan minggu lalu.
6_013	Wakil Ketua MPR Mahyudin melantik anggota pergantian antarwaktu atau PAW.	Wakil Ketua EM-PE-ER Mahyudin melantik anggota pergantian antarwaktu atau PE-A-WE.
6_014	Mereka yang dilantik menjadi anggota baru MPR adalah Hetifah dari Fraksi Partai Golkar dari Dapil Kalimantan Timur dan Junaidi Auly.	MerEka yang dilantik menjadi anggota baru EM-PE-ER adalah HEtifah dari Fraksi Partai Golkar dari Dapil Kalimantan Timur dan Junaidi Auli.
6_015	Popong berpendapat bahwa narkoba adalah bahaya laten.	Popong berpendapat bahwa narkoba adalah bahaya latEn.
6_016	Revolusi mental dan revolusi iman, dua-duanya harus kita sokong ujar Ghazali Abbas.	REvolusi mEntal dan rEvolusi iman, dua-duanya harus kita sokong ujar Ghazali Abbas.
6_017	Puluhan blogger yang dibagi dalam dua grup itu mempresentasikan bagaimana mereka mencari format yang sesuai.	Puluhan blogger yang dibagi dalam dua grup itu memprEsentasikan bagaimana MerEka mencari format yang sesuai.
6_018	Mereka berada di kota budaya itu untuk mengikuti Netizen Gathering empat Pilar MPR.	MerEka berada di kota budaya itu untuk mengikuti NEtizEn GE-the-ring empat Pilar EM-PE-ER.
6_019	Ketua Umum PKB Muhaimin Iskandar mengatakan acara ini merupakan acara yang strategis bagi bangsa dan negara.	Ketua Umum PE-KA-BE Muhaimin Iskandar mengatakan acara ini merupakan acara yang stratEgis bagi bangsa dan negara.
6_020	Duta Besar Kuba untuk Indonesia, Nirsia Castro Guevara mengajak Indonesia mendukung pelucutan senjata nuklir.	Duta Besar Kuba untuk IndonEsia, Nir-sia Kastro GuEvara mengajak IndonEsia mendukung pelucutan senjata nuklir.
6_021	Mahyudin mendukung dan mengapresiasi sikap tegas TNI AU.	Mahyudin mendukung dan mengaprEsiasi sikap tegas TE-EN-I AU.
6_022	TNI AU menurunkan paksa pesawat tanpa izin yang melintas di atas wilayah nusantara.	TE-EN-I AU menurunkan paksa pesawat tanpa izin yang melintas di atas wilayah nusantara.
6_023	Presiden RI meninjau pembangunan jalan tol KM tujuh puluh tujuh Trans Sumatera.	PrEsidEn ER-I meninjau pembangunan jalan tol KA-EM tujuh puluh tujuh Trans Sumatra.
6_024	Silaturahmi nasional atau silatnas menurutnya sangat baik untuk membangun komunikasi antar sesama kader Golkar.	Silaturahmi nasional atau silatnas menurutnya sangat baik untuk membangun komunikasi antar sesama kader Golkar.
6_025	Partai Keadilan Sejahtera atau PKS menggelar Mukernas empat di Bumi Wiyata, Depok, Jawa Barat.	Partai Keadilan Sejahtera atau PKS menggelar Mukernas empat di Bumi Wiyata, DEpok, Jawa Barat.
6_026	Aburizal Bakrie mendorong Fraksi Partai Golkar di MPR agar melakukan amandemen sesuai dengan mukadimah.	Aburizal Bakri mendorong Fraksi Partai Golkar di EM-PE-ER agar melakukan amandemEn sesuai dengan mukadimah.
6_027	Rambe Kamarulzaman mengatakan kegiatan sosialiasi ini merupakan kerja sama Fraksi Partai Golkar di MPR dengan sayap-sayap Partai Golkar.	RambE Kamarulzaman mengatakan kegiatan sosialiasi ini merupakan kerja sama Fraksi Partai Golkar di EM-PE-ER dengan sayap-sayap Partai Golkar.
6_028	Menjelang Munas pada bulan Desember, Pengurus Pusat Ikatan Dai Indonesia atau Ikadi melakukan audiensi dengan Wakil Ketua MPR Hidayat Nur Wahid.	Menjelang Munas pada bulan DEsEmber, Pengurus Pusat Ikatan Dai Indonesia atau Ikadi melakukan audiEnsi dengan Wakil Ketua EM-PE-ER Hidayat Nur Wahid.
6_029	Focus Group Discussion bertema Implementasi Pancasila dan UUD NRI Tahun sembilan belas empat lima Bidang Ketatanegaraan.	Fokus Grup Dis-kas-siyen bertEma ImplemEntasi Pancasila dan U-U-DE EN-ER-I Tahun sembilan belas empat lima Bidang Ketatanegaraan.
6_030	Acara itu bertempat di Aula Nyi Endang Darma, Universitas Wiralodra, Indramayu, Jawa Barat.	Acara itu bertempat di Aula Nyi Endang Darma, UnivErsitas Wiralodra, Indramayu, Jawa Barat.
6_031	Seharusnya dalam dunia olah raga menurut Zulkifli seluruh pihak terkait harus bertindak sportif.	Seharusnya dalam dunia olah raga menurut Zulkifli seluruh pihak terkait harus bertindak sportif.
6_032	Forum Marga Adat Ketibung meresmikan Masjid Nurul Ullum, Umbul Niti, Lampung.	Forum Marga Adat Ketibung meresmikan Masjid Nurul Ullum, Umbul Niti, Lampung.
6_033	Abdul Kadir Karding dengan mantap mengungkapkan perubahan yang paling mendasar adalah termuatnya Hak Asasi Manusia atau HAM.	Abdul Kadir Karding dengan mantap mengungkapkan perubahan yang paling mendasar adalah termuatnya Hak Asasi Manusia atau HAM.
6_034	Anggota Badan Pengkajian MPR Shodiq Mujahid mengungkapkan MPR sedang mendorong pembentukan sebuah badan semacam BP7	Anggota Badan Pengkajian EM-PE-ER Shodiq Mujahid mengungkapkan EM-PE-ER sedang mendorong pembentukan sebuah badan semacam BE-PE tujuh
6_035	Kita tidak melakukan indoktrinasi.	Kita tidak melakukan indoktrinasi.
6_036	Pancasila bukan untuk kepentingan penguasa seperti pada masa Orde Baru.	Pancasila bukan untuk kepentingan penguasa seperti pada masa Orde Baru.
6_037	Indonesia dan Tiongkok sepakat untuk tingkatkan kerjasama bilateral.	IndonEsia dan Tiongkok sepakat untuk tingkatkan kerjasama bilateral.
6_038	Isu soal pemotongan anggaran pendidikan hanyalah hoax belaka.	Isu soal pemotongan anggaran pendidikan hanyalah hoaks belaka.
6_039	Ratusan mahasiswa Universitas Sriwijaya Palembang atau Unsri mengenakan jaket kuning almamater mereka yang khas.	Ratusan mahasiswa UnivErsitas Sriwijaya PalEmbang atau Unsri mengenakan jakEt kuning almamater MerEka yang khas.
6_040	Bambang Sadono miris dengan sistem ketatanegaraan Indonesia yang banyak sekali bersinggungan satu dengan yang lainnya.	Bambang Sadono miris dengan sistem ketatanegaraan IndonEsia yang banyak sekali bersinggungan satu dengan yang lainnya.
6_041	Seminar di ternate membahas Multi Tafsir terhadap ketetapan MPR.	Seminar di ternatE membahas Multi Tafsir terhadap ketetapan EM-PE-ER.
6_042	Maruf Cahyono merasakan hal yang luar biasa ketika pelajar SMA dua Kristen Binsus Tomohon Sulawesi Utara memainkan musik kulintang.	Maruf Cahyono merasakan hal yang luar biasa ketika pelajar ES-EM-A dua Kristen Binsus Tomohon Sulawesi Utara memainkan musik kulintang.
6_043	Kehadiran Ketua MPR di kampus Universitas Muhammadiyah Malang atau UMM adalah untuk membuka acara Pengenalan Studi Mahasiswa Baru atau Pesmaba.	Kehadiran Ketua EM-PE-ER di kampus UnivErsitas Muhammadiyah Malang atau U-EM-EM adalah untuk membuka acara Pengenalan Studi Mahasiswa Baru atau Pesmaba.
6_044	Junimart Girsang meminta media untuk berkontribusi lebih besar.	Junimart Girsang meminta mEdia untuk berkontribusi lebih besar.
6_045	Zulkifli Hasan menghadiri undangan acara Taaruf Musyawarah Nasional MUI.	Zulkifli Hasan menghadiri undangan acara Taaruf Musyawarah Nasional EM-U-I.
6_046	Tema acaranya adalah Islam Wasathiyah Untuk Indonesia dan Dunia Yang Berkeadilan dan Berkeadaban.	TEma acaranya adalah Islam Wasathiyah Untuk IndonEsia dan Dunia Yang Berkeadilan dan Berkeadaban.
6_047	Majelis Ulama Indonesia menggelar acara di Ballroom Garden Palace Hotel Surabaya.	Majelis Ulama IndonEsia menggelar acara di Boll-rum Garden PE-lEs HotEl Surabaya.
6_048	Alun Alun Karanganyar yang terhampar luas di depan kantor Kabupaten Karanganyar.	Alun Alun Karanganyar yang terhampar luas di depan kantor KabupatEn Karanganyar.
6_049	Ki Warseno Slenk dalang kelahiran Klateng akan memainkan lakon Banjaran Setyaki.	Ki WarsEno SlEng dalang kelahiran Klateng akan memainkan lakon Banjaran Setyaki.
6_050	UU Komisi Yudisial perlu direvisi.	UU Komisi Yudisial perlu dirEvisi.
6_051	Misalnya untuk memenej secara tepat pembuangan air.	Misalnya untuk memEnEj secara tepat pembuangan air.
6_052	Mobil Baleno hijau metalik adalah mobil Cina yang hebat.	Mobil BalEno hijau mEtalik adalah mobil Cina yang hEbat.
6_053	Mochtar Buchori merespons hal itu.	Mochtar Buchori merEspons hal itu.
6_054	Direktur Masalah-Masalah Philipina.	DirEktur masalah-masalah Filipina.
6_055	Entah hidup sebagai rohaniwan atau awam.	Entah hidup sebagai rohaniwan atau awam.
6_056	Ia menjawab Hai bapakku.	Ia menjawab Hai bapakku.
6_057	Ia menusuk dan mengoyak-ngoyak.	Ia menusuk dan mengoyak-ngoyak.
6_058	Juga dipicu oleh faktor-faktor lain jelas Zein.	Juga dipicu oleh faktor-faktor lain jelas ZEin.
6_059	Kalau untuk bulan januari berapa?	Kalau untuk bulan januari berapa?
6_060	Kantor terpadu untuk polisi air.	Kantor terpadu untuk polisi air.
6_061	Hai orang-orang yang beriman.	Hai orang-orang yang beriman.
6_062	Ketua Fraksi Partai Golkar DPRD DIY Khairuddin mengakui secara khusus tentang kacaunya PDIP.	Ketua Fraksi Partai Golkar DE-PE-ER-DE DE-I-YE Khairuddin mengakui secara khusus tentang kacaunya PE-DE-I-PE.
6_063	Ketua Korps Pegawai RI menyoroti banyak hal khususnya polusi asap knalpot kendaraan bermotor.	Ketua Korps Pegawai ER-I menyoroti banyak hal khususnya polusi asap knalpot kendaraan bermotor.
6_064	Koperasi Pegawai Logistik yang menjual jam weker.	Koperasi Pegawai Logistik yang menjual jam wEker.
6_065	Kosong enam kosong tujuh dan Kosong empat kosong lima.	Kosong enam kosong tujuh dan Kosong empat kosong lima.
6_066	Sutradara Gintings yang sempat berbicara mengenai wewenangnya di Hotel Sahid Jaya.	Sutradara Gintings yang sempat berbicara mengenai wewenangnya di HotEl Sahid Jaya.
6_067	Di dalam draf awal disebutkan rancangan aturan dari sentralisme ke otonomi.	Di dalam draf awal disebutkan rancangan aturan dari sEntralisme ke otonomi.
6_068	Dengan istigfar dulu dipegangnya colokan itu dan tersetrum.	Dengan istigfar dulu, dipegangnya colokan itu dan tersetrum.
6_069	Di Pulau Okinawa, hanya ada sembilan puluh delapan anggota polisi.	Di Pulau Okinawa, hanya ada sembilan puluh delapan anggota polisi.
6_070	Akan terjadi kekacauan kalau air sungai Kahayan meluap.	Akan terjadi kekacauan kalau air sungai Kahayan meluap.
6_071	Di atas mobil golfnya, Dan Hughes melambaikan tangannya ke arah massa.	Di atas mobil golfnya, Dan Hu-ghes melambaikan tangannya ke arah massa.
6_072	Kalau Anda pilih Hotel Spinghar kami setuju saja.	Kalau Anda pilih HotEl Spinghar kami setuju saja.
6_073	Kalau Australia mau cuci tangan, kita bawa saja ke pengadilan internasional.	Kalau Australia mau cuci tangan, kita bawa saja ke pengadilan internasional.
6_074	Kalau granat itu meledak, bisa celaka kita.	Kalau granat itu meledak, bisa celaka kita.
6_075	Hal itu dikenal juga sebagai konsep dwifungsi.	Hal itu dikenal juga sebagai konsEp dwifungsi.
6_076	Dalam perspektif pluralisme hal itu bukan konsep negara.	Dalam perspEktif pluralisme hal itu bukan konsEp negara.
6_077	Dan itu adalah China Petroleum ujar Ikrar.	Dan itu adalah China PEtroleum ujar Ikrar.
6_078	Disitanya satu pisau lipat dari koper kabin itu.	Disitanya satu pisau lipat dari koper kabin itu.
6_079	Di aula desa sudah berkumpul Kodim dan Satpol PP Pemkab Jepara.	Di aula dEsa sudah berkumpul Kodim dan Satpol PP PEmkab Jepara.
6_080	Kepala Subseksi Geofisika mengatakan gempa terjadi dalam tujuh skala richter.	Kepala SubsEksi GEofisika mengatakan gempa terjadi dalam tujuh skala richter.
6_081	Peti jenazah Yesus.	Peti jenazah YEsus.
6_082	Kalau rame-rame begini terasa atmosfer akrabnya.	Kalau ramE-ramE begini terasa atmosfEr akrabnya.
6_083	Bambang Sudibyo untuk Menkeu.	Bambang Sudibyo untuk Men-keu.
6_084	Mohon informasi tentang akte kelahiran.	Mohon informasi tentang akte kelahiran.
6_085	Dan jelas wewenang dari pelaksananya serta sah panggilannya.	Dan jelas wewenang dari pelaksananya serta sah panggilannya.
6_086	Di antaranya, zone ekonomi.	Di antaranya, zone Ekonomi.
6_087	Inspektur Jenderal Sufyan Yakub hanya punya tujuh puluh enam anggota pleton.	InspEktur JEnderal Sufyan Yakub hanya punya tujuh puluh enam anggota ple-ton.
6_088	Kalau hendak diekspor lagi perlu standarisasi ukuran dan berat.	Kalau hendak diEkspor lagi perlu standarisasi ukuran dan berat.
6_089	Kita tidak memakai wewangian ujar Elza.	Kita tidak memakai wewangian ujar Elza.
6_090	Kalau MPR tidak mau mengesahkan efek psikologisnya lumayan juga ujarnya.	Kalau EM-PE-ER tidak mau mengesahkan EfEk psikologisnya lumayan juga ujarnya.
6_091	Mohon informasi tentang persyaratan HGB, IMB, KK, KTP, NPWP, PBB dan SHM.	Mohon informasi tentang persyaratan HA-GE-BE, I-EM-BE, KA-KA, KA-TE-PE, EN-PE-WE-PE, PE-BE-BE dan ES-HA-EM.
6_092	Cinta Jangan Kau Pergi.	Cinta Jangan Kau Pergi.
6_093	Bangau berkata saya masih pusing.	Bangau berkata saya masih pusing.
6_094	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru obstruktif kronik.	Akibat kebiasaannya merokok sejak remaja, ia menderita penyakit paru ob-struk-tif kronik.
6_095	Ini bukan perang etnis apalagi perang agama, hanya perang kepentingan saja.	Ini bukan perang Etnis apalagi perang agama, hanya perang kepentingan saja.
6_096	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.	Bahwa film itu kurang detail seperti bukunya terjadi karena keterbatasan waktu.
6_097	Begitu bel ronde awal dibunyikan, penonton bersorak riuh.	Begitu bEl ronde awal dibunyikan, penonton bersorak riuh.
6_098	Beda antara dokumen milik Kwik dan Putu terletak pada formatnya.	BEda antara dokumEn milik Kwik dan Putu terletak pada formatnya.
6_099	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.	Ia tidak datang akibat hujan, belum lagi badai juga cukup kencang.
6_100	Ini dia lakukan dalam upaya membuktikan klaimnya.	Ini dia lakukan dalam upaya membuktikan klaimnya.
6_101	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.	Dalam rangka tutup buku tahun dua ribu lima semua laporan harus sudah masuk hari ini.
6_102	Mohon penjelasan tentang Pin partisipan.	Mohon penjelasan tentang Pin partisipan.
6_103	Motor ekonomi digeser ke swasta.	Motor Ekonomi digEsEr ke swasta.
